R,G,B
143,55,24
143,55,24
142,54,23
142,53,25
144,57,25
144,57,25
143,55,24
142,56,26
144,58,26
143,57,24
144,56,25
142,56,26
140,54,23
141,54,23
142,56,26
141,54,25
142,55,24
143,56,24
144,58,26
145,58,25
142,56,25
142,55,22
142,55,24
143,55,24
144,56,28
139,55,25
143,55,25
145,57,26
145,57,25
143,55,23
142,56,23
142,58,25
144,55,23
143,55,25
144,57,27
144,55,27
146,58,27
145,55,26
146,57,27
142,55,25
144,56,24
144,58,28
146,55,27
142,54,24
144,56,26
143,55,26
142,55,26
142,56,25
143,56,24
142,56,26
143,55,29
142,55,25
143,55,26
144,57,26
142,58,26
141,54,26
142,57,26
141,54,24
144,55,25
144,56,25
141,54,24
145,55,25
144,56,26
143,55,25
141,54,26
143,55,25
142,55,26
143,55,24
142,56,26
144,56,26
141,55,25
141,54,26
143,55,24
144,58,28
143,54,24
142,56,25
144,56,25
143,56,26
141,54,23
144,56,25
144,57,27
143,55,28
143,55,26
141,54,23
142,56,26
143,54,23
136,54,22
144,57,27
141,54,22
143,55,24
143,57,25
141,55,24
143,55,25
142,56,26
142,55,25
142,56,26
143,56,26
146,58,28
142,54,23
143,55,25
143,56,25
142,56,25
144,57,26
144,57,27
143,55,24
143,55,25
142,55,26
143,56,25
143,56,27
144,54,23
144,56,25
144,56,25
144,58,26
142,54,27
141,55,23
139,55,26
142,56,25
143,55,26
143,55,25
146,55,27
141,54,23
144,57,25
143,56,26
143,57,25
142,56,26
144,57,26
143,55,26
142,55,29
144,57,24
144,56,25
143,56,26
144,57,26
142,55,25
143,57,26
144,57,27
142,55,24
143,55,25
144,57,26
142,57,28
141,55,24
143,55,25
144,57,26
144,57,26
143,57,27
141,54,25
144,55,25
144,57,27
143,54,24
142,54,24
142,55,26
143,54,24
144,55,24
142,55,24
144,55,25
141,54,25
144,56,24
144,58,27
144,57,27
142,55,24
142,54,24
141,55,25
144,57,26
144,57,27
145,57,26
143,55,23
144,57,27
142,54,25
143,55,23
143,57,27
142,55,23
141,55,25
144,58,27
145,58,25
142,58,21
142,55,24
142,55,25
143,55,24
145,56,26
140,54,23
144,54,26
144,56,25
142,55,23
145,57,26
144,56,27
144,57,26
144,58,27
143,57,27
144,58,25
140,53,26
142,55,26
143,55,24
144,54,26
145,56,27
143,55,27
