R,G,B
8,12,20
9,14,21
10,14,20
9,13,18
8,13,19
8,12,19
10,15,21
8,12,20
8,12,19
9,14,20
7,13,20
10,15,20
8,12,20
8,12,19
9,14,21
8,15,20
10,15,21
12,11,20
12,15,21
8,13,21
9,14,21
10,15,23
10,14,19
8,15,20
7,11,18
7,11,19
9,12,19
8,13,20
7,12,19
8,13,20
8,12,19
8,9,20
9,12,18
7,11,19
8,13,18
7,12,18
11,13,20
10,14,20
8,12,22
11,13,20
8,12,20
9,13,20
8,12,18
9,12,20
9,12,19
8,12,20
8,13,17
6,12,18
9,13,21
8,12,19
9,12,19
7,11,21
9,12,19
10,14,21
10,14,20
9,14,21
9,13,22
12,16,22
8,13,20
8,12,19
10,13,20
11,15,21
8,14,19
9,14,20
8,14,18
9,14,20
11,14,20
5,11,20
7,13,21
8,13,20
8,13,17
8,13,19
9,14,20
9,13,21
9,13,16
9,11,17
8,12,19
11,15,21
10,13,19
10,15,22
7,13,20
13,15,23
10,14,20
8,13,21
10,14,20
9,12,19
10,13,21
8,12,19
10,14,20
8,12,20
10,13,19
11,15,23
11,14,19
9,13,20
9,12,18
9,15,20
10,13,20
7,11,19
9,14,21
11,15,20
10,15,19
10,13,21
9,13,20
12,16,20
8,12,20
11,14,19
8,12,19
9,12,18
11,10,19
8,14,20
11,15,20
8,12,19
10,13,19
8,11,19
10,13,19
11,14,20
11,13,22
9,14,21
8,12,19
10,14,21
9,12,18
13,12,20
8,12,20
8,12,19
9,12,18
10,14,19
8,13,19
8,12,19
8,12,20
10,13,19
9,13,20
12,12,20
8,12,19
10,13,20
8,13,19
11,12,24
10,15,21
12,15,22
10,13,19
8,12,19
9,14,19
10,16,20
9,14,21
10,13,19
10,14,21
8,12,19
10,14,20
11,12,21
10,15,22
10,14,21
8,12,18
7,13,19
8,14,20
10,14,19
10,15,20
9,14,21
9,14,21
9,14,20
9,12,18
10,13,20
8,11,20
8,11,18
9,13,19
9,14,21
8,11,19
8,12,20
10,14,20
6,11,17
8,13,20
9,13,18
10,13,19
6,12,17
10,14,20
12,14,18
8,13,20
11,15,21
9,13,23
9,14,19
8,12,19
10,14,18
8,13,21
8,12,19
8,12,20
8,13,20
10,13,20
8,14,21
10,14,20
8,13,21
8,12,19
10,13,19
10,13,20
10,13,19
9,14,21
8,12,19
10,14,20
8,13,20
7,12,20
10,13,19
12,14,20
9,13,19
10,9,20
9,13,19
10,13,21
8,12,19
8,12,20
9,14,21
9,12,19
10,14,21
9,12,19
6,12,19
7,13,18
8,13,18
10,14,21
10,14,20
10,14,20
10,15,21
11,14,21
10,13,20
10,14,19
8,13,19
8,12,19
9,15,19
10,14,19
10,14,21
8,13,20
11,16,20
8,13,20
8,12,19
8,13,19
7,13,17
11,13,22
9,14,21
11,15,21
9,14,21
8,13,17
10,14,19
8,13,20
10,13,19
9,12,22
9,15,20
6,10,18
9,14,20
12,13,21
13,11,22
11,14,21
10,13,19
10,13,19
10,12,19
8,12,20
8,12,20
11,14,21
9,15,20
13,15,20
8,12,19
9,13,20
11,15,21
9,12,19
11,13,20
9,13,21
10,14,19
10,11,21
7,11,17
10,13,20
10,13,20
9,13,20
10,14,19
10,14,20
10,15,20
9,12,19
11,15,21
8,13,20
9,13,20
9,14,21
10,14,19
8,13,18
10,14,20
11,15,22
8,12,19
10,15,21
12,14,20
10,13,19
8,12,19
9,13,18
9,14,20
8,11,20
8,12,20
10,14,20
10,13,20
8,13,20
8,12,20
8,12,20
8,12,19
7,13,20
9,14,21
7,12,20
11,15,21
10,14,19
10,14,21
10,14,20
7,12,19
10,13,19
11,15,21
10,14,20
8,14,19
9,12,20
8,12,20
11,13,20
11,14,21
11,15,20
9,14,21
10,14,21
10,14,20
9,13,21
11,14,20
11,15,23
11,13,23
8,13,18
8,12,20
9,14,21
9,13,19
10,13,20
10,14,20
8,13,20
8,12,20
10,14,20
7,12,20
8,12,20
10,14,20
10,14,19
9,13,21
6,12,18
10,13,20
8,12,19
8,12,21
10,14,19
10,14,21
10,14,22
10,14,20
8,12,18
10,14,19
9,12,19
7,11,17
8,13,20
8,12,20
8,14,16
6,12,19
8,13,20
8,12,20
10,13,22
14,15,23
11,17,21
9,14,21
10,16,21
12,16,21
9,12,16
14,16,20
7,13,19
10,13,19
9,14,20
9,14,21
10,14,20
8,11,19
8,12,20
8,12,19
9,13,20
8,13,18
7,12,19
11,15,22
10,13,19
10,13,19
8,12,19
10,14,20
6,17,20
10,13,20
11,14,20
11,14,21
8,12,19
7,11,16
8,12,19
10,14,20
8,13,18
10,14,20
10,14,20
7,12,19
12,13,19
10,14,20
7,12,20
13,15,21
9,12,18
10,14,20
8,12,19
8,13,20
9,13,20
8,12,20
10,14,20
11,15,21
10,14,23
10,14,20
8,12,19
10,13,19
8,12,19
10,13,21
12,15,21
7,12,18
10,13,22
9,14,21
9,12,19
11,15,21
8,12,19
8,12,19
11,15,21
9,12,20
9,12,19
9,14,21
10,12,20
8,12,20
10,14,19
10,14,20
14,13,20
9,14,21
10,13,19
10,14,20
9,12,21
10,13,20
8,12,19
8,13,18
11,14,19
10,13,19
10,14,19
10,14,20
6,13,21
8,13,21
7,11,17
9,13,21
10,14,20
7,12,20
10,13,19
9,14,21
11,12,21
8,12,21
7,12,17
8,12,19
8,13,19
10,14,20
8,13,20
9,14,21
8,12,19
6,11,20
8,12,19
10,14,21
6,12,19
10,13,19
10,13,20
8,12,20
11,11,20
8,13,19
7,11,18
7,13,19
11,15,21
11,15,21
9,14,21
9,16,19
12,14,19
8,13,17
8,12,19
8,12,19
8,12,19
8,12,19
