R,G,B
80,111,223
81,111,226
80,113,228
82,109,226
80,111,225
79,116,224
78,114,224
80,110,220
81,114,225
81,112,225
81,112,224
82,114,228
80,111,221
80,111,223
83,113,227
84,115,227
81,112,226
80,111,224
79,110,223
80,116,221
80,111,223
81,111,223
83,113,221
75,114,225
80,112,223
82,113,226
81,111,223
80,114,220
81,117,224
83,113,226
81,111,224
82,114,225
81,113,225
80,113,226
81,111,224
82,112,227
80,114,222
82,111,227
79,111,223
80,115,226
82,111,224
82,113,229
81,111,223
75,109,222
80,110,225
78,114,225
80,112,225
76,113,224
83,109,229
81,111,227
81,113,224
79,113,224
80,112,222
82,113,227
81,113,224
81,111,225
84,113,226
82,110,226
82,112,222
73,108,219
82,111,224
83,112,226
82,112,224
82,112,224
81,113,224
81,114,224
86,113,226
78,110,221
79,114,223
81,115,225
81,113,224
82,115,225
81,112,223
78,114,222
78,114,227
78,117,221
79,112,223
79,115,220
77,115,227
81,111,224
82,112,223
79,109,224
79,111,222
80,113,225
78,110,224
81,112,224
78,109,220
79,111,225
78,110,222
78,111,222
76,111,221
82,114,221
79,112,224
80,111,223
80,111,225
81,112,224
79,113,226
78,112,218
81,112,225
86,114,227
83,113,228
80,112,223
80,111,224
79,111,224
82,113,226
82,109,225
81,114,227
82,109,227
80,111,225
80,112,226
79,111,225
74,111,221
82,112,225
80,113,226
80,110,225
80,113,225
81,114,225
75,115,222
79,112,223
79,112,226
82,114,225
81,114,225
83,114,226
81,112,224
82,114,225
77,110,221
83,113,227
81,113,225
80,113,224
81,112,224
79,112,224
80,111,225
81,113,225
81,113,223
79,113,225
79,111,224
79,111,224
81,113,225
84,113,227
79,111,224
81,112,224
79,111,223
81,114,224
82,114,226
81,114,228
80,111,225
78,113,223
81,110,228
80,113,226
80,113,226
80,112,225
79,112,225
82,114,225
79,111,225
81,112,224
79,111,223
80,113,225
79,112,225
81,113,225
81,112,227
81,113,225
79,111,224
82,113,225
82,115,225
81,114,227
81,113,225
82,114,228
82,114,226
80,111,225
82,113,225
80,113,224
79,111,224
81,110,225
79,114,225
80,109,225
81,112,225
81,112,224
79,111,223
79,111,224
82,114,226
81,113,225
81,113,225
81,112,224
82,112,224
81,111,228
79,112,224
80,112,225
79,110,225
80,114,226
79,111,223
79,111,224
81,112,228
78,111,224
81,114,226
81,111,224
83,110,227
79,112,225
79,110,224
80,113,226
81,112,224
81,113,225
81,113,226
80,113,226
80,113,226
81,112,226
80,112,226
82,114,227
80,112,223
82,113,226
82,114,226
81,114,226
80,112,227
81,112,224
79,111,224
82,113,225
81,112,224
80,113,226
81,113,225
80,114,226
80,113,226
79,114,223
81,112,226
79,111,224
81,111,226
83,114,227
83,114,226
81,113,226
82,113,224
81,112,224
82,113,226
81,112,224
82,112,224
81,112,224
80,113,226
79,112,224
80,112,225
81,112,224
83,114,226
81,114,224
79,111,225
79,111,224
79,111,224
79,111,224
81,113,225
80,108,224
79,111,224
79,113,225
80,112,229
80,113,227
82,114,225
80,111,226
81,112,225
82,113,226
80,111,226
82,113,227
80,112,224
81,113,226
80,111,222
81,112,224
79,111,223
81,113,225
83,116,226
79,109,224
81,112,225
81,114,226
80,111,226
79,111,225
79,111,222
81,112,225
80,112,224
82,112,226
81,112,224
83,114,226
79,112,224
77,110,223
79,111,223
79,113,224
82,113,224
83,112,225
78,112,224
79,112,224
82,113,225
80,110,224
80,112,224
82,115,225
81,112,225
81,113,224
80,113,225
80,113,226
81,113,225
79,111,224
80,111,224
82,114,226
80,111,223
80,112,225
81,112,225
81,112,225
80,109,227
82,113,225
81,112,225
79,111,225
80,111,225
82,114,226
79,110,222
80,113,226
82,113,226
81,113,226
82,112,225
80,113,225
80,113,225
81,112,224
81,113,225
78,111,225
80,112,225
82,113,224
81,112,224
80,112,226
81,112,224
79,111,224
79,111,223
83,115,227
79,111,224
79,111,224
81,113,229
79,111,224
80,112,226
82,112,225
80,111,224
82,112,227
81,113,225
82,113,226
81,113,225
81,112,224
74,111,223
82,114,226
81,113,225
83,113,226
