Degrees Rotated Since Beginning,Degrees Rotated Per Second
2,2
2,0
2,0
3,5
5,3
6,5
8,16
5,5
12,10
18,0
17,-10
22,-12
23,16
27,-6
27,0
27,2
24,-33
18,3
18,2
12,-16
3,-10
-3,-16
-3,-6
-1,2
0,0
0,0
0,2
2,6
4,2
