RW: 0, 0, 0, 0
LW: 0, 2, 0, 0
RW: 0, 0, 0, 0
LW: 0, 2, 0, 0
RW: 0, 0, 0, 0
LW: 0, 2, 0, 0
RW: 0, 0, 0, 0
LW: 0, 2, 0, 0
RW: 0, 0, 0, 0
LW: 0, 2, 0, 0
RW: 0, 0, 0, 0
LW: 0, 2, 0, 0
RW: 0, 0, 0, 0
LW: 0, 2, 0, 0
RW: 0, 0, 0, 0
LW: 0, 2, 0, 0
RW: 0, 0, 0, 0
LW: 0, 2, 0, 0
RW: 0, 0, 0, 0
LW: 0, 31, 0, -6620
RW: 0, 38, 0, -6629
LW: 0, 31, 0, -6620
RW: 0, 38, 0, -6629
LW: 0, 31, 0, -6620
RW: 0, 38, 0, -6629
LW: 0, 31, 0, -6620
RW: 0, 38, 0, -6629
LW: 0, 31, 0, -6620
RW: 0, 38, 0, -6629
LW: 0, 31, 0, -6620
RW: 0, 38, 0, -6629
LW: 0, 31, 0, -6620
RW: 0, 38, 0, -6629
LW: 0, 31, 0, -6620
RW: 0, 38, 0, -6629
LW: 0, 31, 0, -6620
RW: 0, 38, 0, -6629
LW: 0, 31, 0, -6620
RW: 0, 38, 0, -6629
LW: 0, 31, 0, -6620
RW: 0, 38, 0, -6629
LW: 0, 31, 0, -6620
RW: 0, 38, 0, -6629
LW: 0, 31, 0, -6620
RW: 0, 38, 0, -6629
LW: 0, 31, 0, -6620
RW: 0, 38, 0, -6629
LW: 0, 31, 0, -6620
RW: 0, 38, 0, -6629
LW: 0, 31, 0, -6620
RW: 0, 48, 0, -6629
LW: 0, 48, 1, -6620
RW: 0, 48, 0, -6629
LW: 0, 48, 1, -6620
RW: 0, 48, 0, -6629
LW: 0, 48, 1, -6620
RW: 0, 48, 0, -6629
LW: 0, 48, 1, -6620
RW: 0, 48, 0, -6629
LW: 0, 48, 1, -6620
RW: 0, 48, 0, -6629
LW: 0, 48, 1, -6620
RW: 0, 48, 0, -6629
LW: 0, 48, 1, -6620
RW: 0, 48, 0, -6629
LW: 0, 48, 1, -6620
RW: 0, 48, 0, -6629
LW: 0, 48, 1, -6620
RW: 0, 48, 0, -6629
LW: 0, 48, 1, -6620
RW: 0, 48, 0, -6629
LW: 0, 48, 1, -6620
RW: 0, 48, 0, -6629
LW: 0, 48, 1, -6620
RW: 0, 48, 0, -6629
LW: 0, 48, 1, -6620
RW: 0, 48, 0, -6629
LW: 0, 48, 1, -6620
RW: 0, 48, 0, -6629
LW: 0, 48, 1, -6620
RW: 0, 48, 0, -6629
LW: 0, 48, 1, -6620
RW: 2, 50, 0, -6629
LW: 0, 48, 1, -6611
RW: 2, 50, 1, -6629
LW: 0, 48, 1, -6611
RW: 2, 50, 1, -6629
LW: 0, 48, 1, -6611
RW: 2, 50, 1, -6629
LW: 0, 48, 1, -6611
RW: 2, 50, 1, -6629
LW: 0, 48, 2, -6611
RW: 2, 50, 1, -6629
LW: 0, 48, 2, -6611
RW: 2, 50, 1, -6629
LW: 0, 48, 2, -6611
RW: 2, 50, 1, -6629
LW: 0, 48, 2, -6611
RW: 2, 50, 1, -6629
LW: 0, 48, 2, -6611
RW: 2, 50, 2, -6629
LW: 0, 48, 2, -6611
RW: 2, 50, 2, -6629
LW: 0, 48, 2, -6611
RW: 2, 50, 2, -6629
LW: 0, 48, 2, -6611
RW: 2, 50, 2, -6629
LW: 0, 48, 3, -6611
RW: 2, 50, 2, -6629
LW: 0, 48, 3, -6611
RW: 2, 50, 2, -6629
LW: 0, 48, 3, -6611
RW: 2, 50, 2, -6629
LW: 0, 48, 3, -6611
RW: 2, 50, 2, -6629
LW: 0, 48, 3, -6611
RW: 2, 50, 2, -6611
LW: 2, 50, 3, -6592
RW: 2, 50, 2, -6611
LW: 2, 50, 3, -6592
RW: 2, 50, 2, -6611
LW: 2, 50, 3, -6592
RW: 2, 50, 2, -6611
LW: 2, 50, 3, -6592
RW: 2, 50, 2, -6611
LW: 2, 50, 3, -6592
RW: 2, 50, 3, -6611
LW: 2, 50, 4, -6592
RW: 2, 50, 3, -6611
LW: 2, 50, 4, -6592
RW: 2, 50, 3, -6611
LW: 2, 50, 4, -6592
RW: 2, 50, 3, -6611
LW: 2, 50, 4, -6592
RW: 2, 50, 3, -6611
LW: 2, 50, 4, -6592
RW: 2, 50, 3, -6611
LW: 2, 50, 4, -6592
RW: 2, 50, 4, -6611
LW: 2, 50, 5, -6592
RW: 2, 50, 4, -6611
LW: 2, 50, 5, -6592
RW: 2, 50, 4, -6611
LW: 2, 50, 5, -6592
RW: 2, 50, 4, -6611
LW: 2, 50, 5, -6592
RW: 2, 50, 4, -6611
LW: 2, 50, 5, -6592
RW: 2, 50, 4, -6611
LW: 2, 50, 5, -6592
RW: 2, 50, 4, -6611
LW: 2, 50, 5, -6573
RW: 2, 50, 4, -6592
LW: 2, 50, 5, -6573
RW: 2, 50, 4, -6592
LW: 2, 50, 6, -6573
RW: 2, 50, 4, -6592
LW: 2, 50, 6, -6573
RW: 2, 50, 5, -6592
LW: 2, 50, 6, -6573
RW: 2, 50, 5, -6592
LW: 2, 50, 6, -6573
RW: 2, 50, 5, -6592
LW: 2, 50, 6, -6573
RW: 2, 50, 5, -6592
LW: 2, 50, 7, -6573
RW: 2, 50, 5, -6592
LW: 2, 50, 7, -6573
RW: 2, 50, 5, -6592
LW: 2, 50, 7, -6573
RW: 2, 50, 6, -6592
LW: 2, 50, 7, -6573
RW: 2, 50, 6, -6592
LW: 2, 50, 7, -6573
RW: 2, 50, 6, -6592
LW: 2, 50, 7, -6573
RW: 2, 50, 6, -6592
LW: 2, 50, 7, -6573
RW: 2, 50, 6, -6592
LW: 2, 50, 7, -6573
RW: 2, 50, 6, -6592
LW: 2, 50, 8, -6573
RW: 2, 50, 6, -6592
LW: 2, 50, 8, -6573
RW: 2, 50, 6, -6592
LW: 2, 50, 8, -6573
RW: 2, 50, 7, -6573
LW: 0, 49, 8, -6545
RW: 2, 50, 7, -6573
LW: 0, 49, 8, -6545
RW: 2, 50, 7, -6573
LW: 0, 49, 9, -6545
RW: 2, 50, 7, -6573
LW: 0, 49, 9, -6545
RW: 2, 50, 7, -6573
LW: 0, 49, 9, -6545
RW: 2, 50, 8, -6573
LW: 0, 49, 9, -6545
RW: 2, 50, 8, -6573
LW: 0, 49, 9, -6545
RW: 2, 50, 8, -6573
LW: 0, 49, 9, -6545
RW: 2, 50, 8, -6573
LW: 0, 49, 10, -6545
RW: 2, 50, 8, -6573
LW: 0, 49, 10, -6545
RW: 2, 50, 8, -6573
LW: 0, 49, 10, -6545
RW: 2, 50, 8, -6573
LW: 0, 49, 11, -6545
RW: 2, 50, 9, -6573
LW: 0, 49, 11, -6545
RW: 2, 50, 9, -6573
LW: 0, 49, 11, -6545
RW: 2, 50, 9, -6573
LW: 0, 49, 11, -6545
RW: 2, 50, 9, -6573
LW: 0, 49, 11, -6545
RW: 0, 47, 10, -6535
LW: 2, 50, 11, -6517
RW: 0, 47, 10, -6535
LW: 2, 50, 12, -6517
RW: 0, 47, 10, -6535
LW: 2, 50, 12, -6517
RW: 0, 47, 10, -6535
LW: 2, 50, 12, -6517
RW: 0, 47, 10, -6535
LW: 2, 50, 12, -6517
RW: 0, 47, 10, -6535
LW: 2, 50, 13, -6517
RW: 0, 47, 11, -6535
LW: 2, 50, 13, -6517
RW: 0, 47, 11, -6535
LW: 2, 50, 13, -6517
RW: 0, 47, 11, -6535
LW: 2, 50, 13, -6517
RW: 0, 47, 11, -6535
LW: 2, 50, 13, -6517
RW: 0, 47, 12, -6535
LW: 2, 50, 13, -6517
RW: 0, 47, 12, -6535
LW: 2, 50, 14, -6517
RW: 0, 47, 12, -6535
LW: 2, 50, 14, -6517
RW: 0, 47, 12, -6535
LW: 2, 50, 14, -6517
RW: 0, 47, 12, -6535
LW: 2, 50, 15, -6517
RW: 0, 47, 12, -6535
LW: 2, 50, 15, -6517
RW: 0, 47, 12, -6535
LW: 2, 50, 15, -6479
RW: 2, 50, 13, -6516
LW: 2, 50, 15, -6479
RW: 2, 50, 13, -6516
LW: 2, 50, 15, -6479
RW: 2, 50, 13, -6516
LW: 2, 50, 15, -6479
RW: 2, 50, 13, -6516
LW: 2, 50, 16, -6479
RW: 2, 50, 14, -6516
LW: 2, 50, 16, -6479
RW: 2, 50, 14, -6516
LW: 2, 50, 16, -6479
RW: 2, 50, 14, -6516
LW: 2, 50, 16, -6479
RW: 2, 50, 14, -6516
LW: 2, 50, 17, -6479
RW: 2, 50, 14, -6516
LW: 2, 50, 17, -6479
RW: 2, 50, 14, -6516
LW: 2, 50, 17, -6479
RW: 2, 50, 15, -6516
LW: 2, 50, 17, -6479
RW: 2, 50, 15, -6516
LW: 2, 50, 17, -6479
RW: 2, 50, 15, -6516
LW: 2, 50, 18, -6479
RW: 2, 50, 15, -6516
LW: 2, 50, 18, -6479
RW: 2, 50, 16, -6516
LW: 2, 50, 18, -6479
RW: 2, 50, 16, -6516
LW: 2, 50, 18, -6479
RW: 2, 50, 16, -6516
LW: 2, 50, 19, -6479
RW: 2, 50, 16, -6479
LW: 0, 47, 19, -6442
RW: 2, 50, 16, -6479
LW: 0, 47, 19, -6442
RW: 2, 50, 16, -6479
LW: 0, 47, 19, -6442
RW: 2, 50, 17, -6479
LW: 0, 47, 19, -6442
RW: 2, 50, 17, -6479
LW: 0, 47, 20, -6442
RW: 2, 50, 17, -6479
LW: 0, 47, 20, -6442
RW: 2, 50, 18, -6479
LW: 0, 47, 20, -6442
RW: 2, 50, 18, -6479
LW: 0, 47, 20, -6442
RW: 2, 50, 18, -6479
LW: 0, 47, 21, -6442
RW: 2, 50, 18, -6479
LW: 0, 47, 21, -6442
RW: 2, 50, 18, -6479
LW: 0, 47, 21, -6442
RW: 2, 50, 18, -6479
LW: 0, 47, 21, -6442
RW: 2, 50, 18, -6479
LW: 0, 47, 21, -6442
RW: 2, 50, 19, -6479
LW: 0, 47, 22, -6442
RW: 2, 50, 19, -6479
LW: 0, 47, 22, -6442
RW: 2, 50, 19, -6479
LW: 0, 47, 22, -6442
RW: 2, 50, 20, -6479
LW: 0, 47, 22, -6442
RW: 2, 50, 20, -6479
LW: 0, 47, 23, -6442
RW: 2, 50, 20, -6443
LW: 0, 47, 23, -6405
RW: 2, 50, 20, -6443
LW: 0, 47, 23, -6405
RW: 2, 50, 20, -6443
LW: 0, 47, 23, -6405
RW: 2, 50, 20, -6443
LW: 0, 47, 23, -6405
RW: 2, 50, 21, -6443
LW: 0, 47, 24, -6405
RW: 2, 50, 21, -6443
LW: 0, 47, 24, -6405
RW: 2, 50, 21, -6443
LW: 0, 47, 24, -6405
RW: 2, 50, 22, -6443
LW: 0, 47, 24, -6405
RW: 2, 50, 22, -6443
LW: 0, 47, 25, -6405
RW: 2, 50, 22, -6443
LW: 0, 47, 25, -6405
RW: 2, 50, 22, -6443
LW: 0, 47, 25, -6405
RW: 2, 50, 22, -6443
LW: 0, 47, 25, -6405
RW: 2, 50, 22, -6443
LW: 0, 47, 25, -6405
RW: 2, 50, 23, -6443
LW: 0, 47, 26, -6405
RW: 2, 50, 23, -6443
LW: 0, 47, 26, -6405
RW: 2, 50, 23, -6443
LW: 0, 47, 26, -6405
RW: 2, 50, 24, -6443
LW: 0, 47, 27, -6405
RW: 2, 50, 24, -6443
LW: 0, 47, 27, -6405
RW: 2, 50, 24, 224
LW: 0, 47, 27, 252
RW: 2, 50, 24, 224
LW: 0, 47, 27, 252
RW: 2, 50, 24, 224
LW: 0, 47, 27, 252
RW: 2, 50, 25, 224
LW: 0, 47, 28, 252
RW: 2, 50, 25, 224
LW: 0, 47, 28, 252
RW: 2, 50, 25, 224
LW: 0, 47, 28, 252
RW: 2, 50, 26, 224
LW: 0, 47, 28, 252
RW: 2, 50, 26, 224
LW: 0, 47, 29, 252
RW: 2, 50, 26, 224
LW: 0, 47, 29, 252
RW: 2, 50, 26, 224
LW: 0, 47, 29, 252
RW: 2, 50, 26, 224
LW: 0, 47, 29, 252
